order_id,movie_name,director,production_company,importer,distributor,release_date,movie_type,long_short,nationality,nation_screen_count,nation_revenue,num_movie_audience,seoul_revenue,seoul_audience,genre,movie_rating,movie_classification
1,범죄도시2,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2022-05-18,개봉영화,장편,한국,"2,498","131,293,353,478","12,692,959","29,072,759,869","2,755,760",범죄,15세이상관람가,일반영화
2,아바타: 물의 길,제임스 카메론,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-12-14,개봉영화,장편,미국,"2,809","137,647,702,899","10,805,065","35,476,705,140","2,623,216",액션,12세이상관람가,일반영화
3,범죄도시3,이상용,"주식회사 빅펀치픽쳐스,(주)홍필름,(주)비에이엔터테인먼트",,"주식회사 에이비오엔터테인먼트,플러스엠 엔터테인먼트",2023-05-31,개봉영화,장편,한국,"2,582","104,687,825,771","10,682,822","22,152,838,269","2,215,435",범죄,15세이상관람가,일반영화
4,탑건: 매버릭,조셉 코신스키,,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2022-06-22,개봉영화,장편,미국,"1,975","87,855,360,975","8,177,446","25,925,045,991","2,309,600",액션,12세이상관람가,일반영화
5,스파이더맨: 노 웨이 홈,존 왓츠,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-12-15,개봉영화,장편,미국,"2,948","75,193,912,210","7,551,990","21,054,819,760","2,041,418",액션,12세이상관람가,일반영화
6,한산: 용의 출현,김한민,(주)빅스톤픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2022-07-27,개봉영화,장편,한국,"2,223","73,700,628,377","7,264,934","15,974,849,913","1,513,672",액션,12세이상관람가,일반영화
7,엘리멘탈,피터 손,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-06-14,개봉영화,장편,미국,"1,251","71,083,010,340","7,234,343","19,092,877,411","1,882,336",애니메이션,전체관람가,일반영화
8,공조2: 인터내셔날,이석훈,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-09-07,개봉영화,장편,한국,"2,389","70,884,583,586","6,979,319","15,028,120,901","1,444,987",액션,15세이상관람가,일반영화
9,닥터 스트레인지: 대혼돈의 멀티버스,샘 레이미,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-05-04,개봉영화,장편,미국,"2,691","62,648,728,870","5,884,587","18,021,250,750","1,610,656",액션,12세이상관람가,일반영화
10,스즈메의 문단속,신카이 마코토,,(주)미디어캐슬,(주)쇼박스,2023-03-08,개봉영화,장편,일본,"1,486","56,611,504,289","5,531,861","14,211,315,703","1,345,812",애니메이션,12세이상관람가,독립/예술영화
11,밀수,류승완,(주)외유내강,,(주)넥스트엔터테인먼트월드(NEW),2023-07-26,개봉영화,장편,한국,"1,932","49,681,527,503","5,142,723","10,714,134,316","1,082,158",액션,15세이상관람가,일반영화
12,더 퍼스트 슬램덩크,이노우에 다케히코,,에스엠지홀딩스 주식회사,(주)넥스트엔터테인먼트월드(NEW),2023-01-04,개봉영화,장편,일본,"1,023","49,711,337,904","4,758,957","16,759,495,290","1,558,343",애니메이션,12세이상관람가,일반영화
13,헌트,이정재,"(주)아티스트스튜디오,(주)사나이픽처스",,플러스엠 엔터테인먼트,2022-08-10,개봉영화,장편,한국,"1,625","44,573,032,153","4,350,029","10,985,286,495","1,052,205",액션,15세이상관람가,일반영화
14,가디언즈 오브 갤럭시: Volume 3,제임스 건,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-05-03,개봉영화,장편,미국,"1,819","44,355,760,061","4,208,994","13,547,092,538","1,235,431",액션,12세이상관람가,일반영화
15,미션 임파서블: 데드 레코닝 PART ONE,크리스토퍼 맥쿼리,파라마운트 픽쳐스,롯데컬처웍스(주)롯데엔터테인먼트,롯데컬처웍스(주)롯데엔터테인먼트,2023-07-12,개봉영화,장편,미국,"2,437","40,426,406,113","4,021,758","11,155,053,710","1,067,180",액션,15세이상관람가,일반영화
16,콘크리트 유토피아,엄태화,"클라이맥스 스튜디오(주),(주)비에이치 엔터테인먼트",,롯데컬처웍스(주)롯데엔터테인먼트,2023-08-09,개봉영화,장편,한국,"1,731","37,387,850,232","3,847,041","8,918,447,541","894,311",드라마,15세이상관람가,일반영화
17,모가디슈,류승완,"(주)덱스터스튜디오,(주)외유내강,(주)필름케이",,롯데컬처웍스(주)롯데엔터테인먼트,2021-07-28,개봉영화,장편,한국,"1,688","34,558,297,730","3,613,984","8,498,347,010","887,264",액션,15세이상관람가,일반영화
18,올빼미,안태진,"(주)씨제스엔터테인먼트,(주)영화사 담담",,(주)넥스트엔터테인먼트월드(NEW),2022-11-23,개봉영화,장편,한국,"1,541","32,860,420,124","3,329,547","8,943,067,323","885,145",스릴러,15세이상관람가,일반영화
19,영웅,윤제균,"(주)제이케이필름,(주)씨제이이엔엠",,(주)씨제이이엔엠,2022-12-21,개봉영화,장편,한국,"1,314","32,293,415,750","3,273,771","7,387,009,217","734,872",드라마,12세이상관람가,일반영화
20,오펜하이머,크리스토퍼 놀란,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-08-15,개봉영화,장편,미국,"1,636","34,327,329,921","3,229,457","11,948,453,654","1,069,052",스릴러,15세이상관람가,일반영화
21,이터널스,클로이 자오,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-11-03,개봉영화,장편,미국,"2,648","31,721,584,450","3,049,688","8,398,642,580","770,301",액션,12세이상관람가,일반영화
22,쥬라기 월드: 도미니언,콜린 트레보로우,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-06-01,개봉영화,장편,미국,"2,218","29,226,463,310","2,836,786","6,938,382,730","639,474",액션,12세이상관람가,일반영화
23,마녀(魔女) Part2. The Other One,박훈정,"(주)영화사 금월,(주)스튜디오앤뉴,(주)페퍼민트앤컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2022-06-15,개봉영화,장편,한국,"1,796","28,920,265,670","2,806,254","6,020,427,150","570,910",액션,15세이상관람가,일반영화
24,토르: 러브 앤 썬더,타이카 와이티티,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-07-06,개봉영화,장편,미국,"2,143","29,494,473,721","2,715,682","8,443,171,772","729,804",액션,12세이상관람가,일반영화
25,슈퍼 마리오 브라더스,,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-04-26,개봉영화,장편,미국,"1,526","23,548,165,482","2,394,074","5,765,317,428","556,377",애니메이션,전체관람가,일반영화
26,미니언즈2,카일 발다,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2022-07-20,개봉영화,장편,미국,"1,394","21,999,556,172","2,269,024","4,467,034,398","436,111",애니메이션,전체관람가,일반영화
27,싱크홀,김지훈,(주)더타워픽쳐스,,(주)쇼박스,2021-08-11,개봉영화,장편,한국,"1,603","21,395,652,690","2,195,683","3,909,551,320","395,724",코미디,12세이상관람가,일반영화
28,베놈 2: 렛 데어 비 카니지,앤디 서키스,,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,소니픽쳐스엔터테인먼트코리아주식회사극장배급지점,2021-10-13,개봉영화,장편,미국,"1,998","21,116,442,890","2,123,652","5,215,485,700","507,629",액션,15세이상관람가,일반영화
29,블랙 팬서: 와칸다 포에버,라이언 쿠글러,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2022-11-09,개봉영화,장편,미국,"2,571","22,204,965,504","2,105,831","6,358,559,927","567,795",액션,12세이상관람가,일반영화
30,비상선언,한재림,"(주)매그넘나인,(주)씨제스엔터테인먼트,씨네주 유한회사",,(주)쇼박스,2022-08-03,개봉영화,장편,한국,"1,734","20,778,871,412","2,042,999","4,560,827,837","432,547",드라마,12세이상관람가,일반영화
31,육사오(6/45),박규태,"(주)티피에스컴퍼니,(주)싸이더스",,"(주)홈초이스,(주)싸이더스",2022-08-24,개봉영화,장편,한국,"1,159","19,791,166,880","1,980,769","3,932,407,651","385,835",코미디,12세이상관람가,일반영화
32,존 윅 4,채드 스타헬스키,,"(주)제이앤씨미디어그룹,(유)조이앤시네마",(주)레드아이스 엔터테인먼트,2023-04-12,개봉영화,장편,미국,"1,532","19,935,436,129","1,923,520","6,084,990,966","572,209",액션,청소년관람불가,일반영화
33,천박사 퇴마 연구소: 설경의 비밀,김성식,"(주)외유내강,주식회사 세미콜론스튜디오,씨제이이엔엠 스튜디오스 주식회사",,(주)씨제이이엔엠,2023-09-27,개봉영화,장편,한국,"1,511","18,616,365,692","1,914,027","4,200,642,786","425,790",판타지,12세이상관람가,일반영화
34,헤어질 결심,박찬욱,모호필름,,(주)씨제이이엔엠,2022-06-29,개봉영화,장편,한국,"1,374","19,678,744,478","1,897,784","8,025,321,064","763,206",미스터리,15세이상관람가,일반영화
35,30일,남대중,(주)영화사울림,,(주)마인드마크,2023-10-03,개봉영화,장편,한국,"1,226","18,306,961,355","1,861,659","4,272,298,671","426,279",코미디,12세이상관람가,일반영화
36,분노의 질주: 라이드 오어 다이,루이스 리테리어,,유니버설픽쳐스인터내셔널 코리아(유),유니버설픽쳐스인터내셔널 코리아(유),2023-05-17,개봉영화,장편,미국,"1,731","18,474,224,210","1,773,426","4,487,591,876","408,482",액션,15세이상관람가,일반영화
37,샹치와 텐 링즈의 전설,데스틴 다니엘 크리튼,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2021-09-01,개봉영화,장편,미국,"1,784","17,691,789,720","1,739,052","5,222,818,950","496,069",액션,12세이상관람가,일반영화
38,교섭,임순례,"(주)영화사수박,원테이크필름",,플러스엠 엔터테인먼트,2023-01-18,개봉영화,장편,한국,"1,289","17,461,011,740","1,721,111","3,694,134,663","355,275",드라마,12세이상관람가,일반영화
39,인질,필감성,"(주)외유내강,(주)샘컴퍼니",,(주)넥스트엔터테인먼트월드(NEW),2021-08-18,개봉영화,장편,한국,"1,288","15,585,244,870","1,638,439","3,252,498,560","373,813",액션,15세이상관람가,일반영화
40,앤트맨과 와스프: 퀀텀매니아,페이튼 리드,,월트디즈니컴퍼니코리아 유한책임회사,월트디즈니컴퍼니코리아 유한책임회사,2023-02-15,개봉영화,장편,미국,"2,090","16,346,738,806","1,551,129","4,870,924,016","434,458",액션,12세이상관람가,일반영화
41,듄,드니 빌뇌브,,워너브러더스 코리아(주),워너브러더스 코리아(주),2021-10-20,개봉영화,장편,미국,"1,576","16,903,293,110","1,549,346","6,583,109,040","576,084",SF,12세이상관람가,일반영화
42,외계+인 1부,최동훈,(주)케이퍼필름,,(주)씨제이이엔엠,2022-07-20,개봉영화,장편,한국,"1,959","15,987,826,548","1,538,504","3,879,858,553","355,262",액션,12세이상관람가,일반영화
43,잠,유재선,(주)루이스 픽쳐스,,롯데컬처웍스(주)롯데엔터테인먼트,2023-09-06,개봉영화,장편,한국,"1,231","13,816,661,288","1,462,467","3,708,752,182","385,832",미스터리,15세이상관람가,일반영화
44,보이스,"김선,김곡",(주)수필름,,(주)씨제이이엔엠,2021-09-15,개봉영화,장편,한국,"1,296","14,025,546,720","1,426,357","2,973,358,110","303,001",범죄,15세이상관람가,일반영화
45,달짝지근해: 7510,이한,(주)무비락,,(주)마인드마크,2023-08-15,개봉영화,장편,한국,884,"13,432,919,901","1,386,466","2,731,175,483","276,753",코미디,12세이상관람가,일반영화
46,해적: 도깨비 깃발,김정훈,"(주)어뉴,오스카10스튜디오",,롯데컬처웍스(주)롯데엔터테인먼트,2022-01-26,개봉영화,장편,한국,"1,708","12,523,963,990","1,339,242","2,843,506,630","319,433",어드벤처,12세이상관람가,일반영화
47,브로커,고레에다 히로카즈,영화사 집,,(주)씨제이이엔엠,2022-06-08,개봉영화,장편,한국,"1,594","12,566,618,030","1,258,891","3,813,389,090","374,115",드라마,12세이상관람가,일반영화
